state,capital,lat,long,population,imgsrc
Andhra pradesh,Amaravathi,15.9129,79.73999,"52883163"," assets/ap.jpg"
Arunachal pradesh,Itanagar,28.217999,94.727753,"1528296","assets/arunachalpradesh.jpg "
Assam,Dispur,26.200603,92.937576,"34586234","assets/assam.jpg"
Bihar,Patna,25.096073,85.313118,"119461013","assets/bihar.jpg"
Chhattisgarh,Naya Raipur,21.295132,81.828232,"28566990","assets/chattisghar.jpg"
Goa,Panaji,15.299326,74.123993,"1542750"," assets/goa.jpg"
Gujarat,Gandhinagar,23.080743,71.600256,"63907200","assets/gujarath.jpg"
Haryana,Chandigarh,29.238478,76.431885,"27388008","assets/haryana.jpg"
Himachal pradesh,Shimla,32.084206,77.571167,"7316708","assets/himachel.jpg "
Jammu & Kashmir,"Srinagar,Jammu",33.778175,76.576172,"13635010","assets/jammu.jpg "
Jharkhand,Ranchi,23.610182,85.279938,"37329128","assets/ jharkhand.jpg"
Karnataka,Bangalore,15.317277,75.71389,"66165886","assets/karnataka.jpg "
Kerala,Thiruvananthapuram,10.850516,76.27108,"35330888","assets/kerala.jpg "
Madhya pradesh,Bhopal,23.473324,77.947998,"82342793","assets/madyapradesh.jpg "
Maharashtra,Mumbai,19.75148,75.71389,"120837347","assets/maharastra.jpg "
Manipur,Imphal,24.663717,93.906265,"3008546","assets/manipur.jpg "
Meghalaya,Shillong,25.467031,91.366219,"3276323","assets/meghalaya.jpg "
Mizoram,Aizawl,23.164543,92.937576,"1205974","assets/mizoram.jpg"
Nagaland,Kohima,26.158436,94.562447,"2189297"," assets/nagaland.png"
Odisha,Bubaneswar,20.94092,84.803467,"45429399","assets/orissa.jpg "
Punjab,Chandigarh,31.147129,75.341217,"29611935","assets/punjab.jpg "
Rajasthan,Jaipur,27.391277,73.432617,"78230816","assets/rajasthan.jpg"
Sikkim,Gangtok,27.532972,88.512215,"671720","assets/sikkim.jpg "
Tamil Nadu,Chennai,11.059821,78.387451,"76481545","assets/tamilnadu.jpg "
Telangana,Hyderabad,17.123184,79.208824,"38472769","assets/telangana.jpg "
Tripura,Agartala,23.940847,91.988152,"4057847","assets/tripura.jpg "
Uttar pradesh,"Lucknow,Kanpur",26.846708,80.946159,"228959599"," assets/uttarpradesh.jpg"
Uttarakhand,Dehradun,30.066753,79.019302,"11090425","assets/uttarakhand.jpg "
West Bengal,Kolkata,22.978624,87.747803,"97694960","assets/westbengal.jpg "